round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.8943929066551424e-05,0.9202537752806549,0.0024866554886102676,0.04986637633325954,0.03353182226419449,0.8088597458167449,0.0797462247193451,7.8044891357421875,,,,,
1,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0002378578471894277,0.8333350643793952,0.015215041115880013,0.12334926475613875,0.11456548422574997,-0.9084573465545336,0.16666493562060483,,0.22260941099375486,9.315969391958788,,,
2,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.607427321302058e-05,0.9485975310835377,0.0010251092026010156,0.03201732659984302,0.020922470837831497,0.9212033977199997,0.051402468916462246,7.627769231796265,,,,,
2,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.3947421323940645e-05,0.9194623371813305,0.0028110123239457607,0.05301898078939052,0.035660162568092346,0.6474076407048102,0.08053766281866949,,0.2571825869381428,8.906331324018538,,,
3,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.204822054061461e-06,0.9604881447449012,0.000523566035553813,0.022881565408726146,0.014818917028605938,0.9597554068091145,0.03951185525509877,7.850892782211304,,,,,
3,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.215062411076395e-05,0.9187695230564598,0.0033349478617310524,0.057749007452345465,0.046521056443452835,0.5816896637704442,0.08123047694354024,,0.18008707487024367,9.18117303121835,,,
4,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.4585088133912655e-06,0.9659209413549275,0.00041204463923349977,0.020298882708994104,0.012632477097213268,0.9683276280656523,0.034079058645072595,7.650815486907959,,,,,
4,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0123134326397974e-05,0.9171904316743833,0.0032053906470537186,0.05661616948411221,0.04809911176562309,0.5979402567785378,0.08280956832561669,,0.1794817429035902,9.161681486992165,,,
5,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.689346774270664e-06,0.9667289937306011,0.00036381406243890524,0.019073910517744,0.011121993884444237,0.9720350054655423,0.03327100626939897,7.362637519836426,,,,,
5,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.79289783257101e-05,0.9188851419580955,0.003065121592953801,0.055363540285586876,0.04585770517587662,0.6155336948462329,0.08111485804190456,,0.19215404195711017,9.272695729974657,,,
6,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.198836222052494e-06,0.9685449135935617,0.0003261032106820494,0.018058328014576804,0.010264100506901741,0.9749336737829858,0.03145508640643839,8.045374155044556,,,,,
6,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.458494183423724e-05,0.9202346153378583,0.00285119260661304,0.05339655987620401,0.043810129165649414,0.6423676563415803,0.07976538466214167,,0.16934554395265877,9.180085378931835,,,
7,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.821630273081163e-06,0.9689445474847651,0.00030767457792535424,0.017540655002745886,0.009843619540333748,0.9763502617864617,0.03105545251523489,7.5227837562561035,,,,,
7,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.631916615036374e-05,0.9195850755389648,0.0029620670247823,0.054424875055275046,0.04456270486116409,0.6284602997036796,0.08041492446103514,,0.18957503396086395,9.112498754868284,,,
8,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.741154929179187e-06,0.9696872917735312,0.00030317745404317975,0.017411991673647785,0.009155616164207458,0.9766959356527227,0.030312708226468855,8.10771656036377,,,,,
8,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.6522754532830665e-05,0.9173266351322081,0.002974946517497301,0.05454307029767669,0.04675104841589928,0.6268447556281049,0.0826733648677919,,0.1801275189500302,9.418406105134636,,,
9,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.648533152174432e-06,0.9700200739852871,0.00029686608468182385,0.017229802224106458,0.009414189495146275,0.9771810035843348,0.029979926014712853,7.445964097976685,,,,,
9,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.088310846455272e-05,0.9229543101148125,0.0026141703128814697,0.051128957674506426,0.04401423782110214,0.6720974257368824,0.07704568988518748,,0.1854425820056349,9.095634128898382,,,
10,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.680057405348269e-06,0.9694108180689658,0.00029887427808716893,0.017287980740594573,0.00931993406265974,0.9770267070470373,0.03058918193103426,7.273013353347778,,,,,
10,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.85732628413725e-05,0.9241213246389262,0.0024664970114827156,0.04966384007990839,0.04298996925354004,0.6906210113230149,0.0758786753610738,,0.18143588211387396,9.29328729887493,,,
11,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.8213941204535675e-06,0.9689723636139471,0.0003068933729082346,0.017518372438906377,0.009729376062750816,0.976410313328472,0.03102763638605285,7.546866416931152,,,,,
11,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.655716523856071e-05,0.927251499809143,0.0023376494646072388,0.04834924471599571,0.041915412992239,0.7067825435347271,0.07274850019085702,,0.167976763099432,9.175449172966182,,,
12,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.744650059550697e-06,0.9694383035861395,0.0002961922436952591,0.01721023659614414,0.009410158731043339,0.9772327912659895,0.030561696413860515,7.659502029418945,,,,,
12,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.1368920728240606e-05,0.9219713516935446,0.0026452788151800632,0.05143227406191625,0.045714594423770905,0.6681957204139626,0.07802864830645535,,0.1801450802013278,9.125920915044844,,,
13,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.268320400302935e-06,0.9707950604052455,0.00027294919709675014,0.016521174204539767,0.008482031524181366,0.9790194211866833,0.029204939594754398,7.462890148162842,,,,,
13,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.7897258689219785e-05,0.9295528768162724,0.0024231718853116035,0.04922572381704106,0.044245027005672455,0.6960550353486477,0.07044712318372753,,0.1756438589654863,8.918694804888219,,,
14,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.168399426124282e-06,0.9711782845305481,0.000264337460976094,0.016258458136492956,0.008267348632216454,0.9796813717813665,0.028821715469451895,7.441585302352905,,,,,
14,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.824758823084988e-05,0.9291525658280659,0.002445603720843792,0.049453045617472255,0.04462006688117981,0.6932415754770339,0.07084743417193407,,0.17469825712032616,8.78930942597799,,,
15,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.544562682957244e-06,0.9703471422068009,0.0002906547160819173,0.017048598654491143,0.009022613056004047,0.9776584705619431,0.02965285779319914,7.386508226394653,,,,,
15,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.6405853168160165e-05,0.9290351795595682,0.002327865920960903,0.04824796286850776,0.04309164360165596,0.7080098165930593,0.07096482044043184,,0.21411882294341922,9.480549538973719,,,
16,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.256640432672251e-06,0.9707963916512783,0.0002721638011280447,0.01649738770618078,0.008741987869143486,0.9790798536972367,0.029203608348721658,8.096068382263184,,,,,
