round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00016504146912682072,0.5585743941055474,0.010388120077550411,0.1019221275167979,0.06495990604162216,0.42910434044609996,0.44142560589445257,2.262159824371338,,,,,
1,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0008185874919096629,0.0,0.04942333698272705,0.22231360053475596,0.18110129237174988,-2.2029944945920485,1.0809393258549187,,0.06773676513694227,8.418599691009149,,,
2,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00013085621373154987,0.6114655452229705,0.00824098289012909,0.09077985949608586,0.05640319734811783,0.547103776094052,0.3885344547770296,2.2142584323883057,,,,,
2,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0004142258777504876,0.21090093951712807,0.025626420974731445,0.1600825442536801,0.11472943425178528,-0.6608074765374248,0.7890990604828719,,0.10278381686657667,8.058517235098407,,,
3,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.894130182693495e-05,0.647088451934622,0.006238476373255253,0.078984026063852,0.04445391148328781,0.6571547429585025,0.35291154806537794,2.082226276397705,,,,,
3,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00038421975537424995,0.2022724298153583,0.0235391017049551,0.15342457985914482,0.1084166020154953,-0.5255596210859192,0.7977275701846417,,0.09326975606381893,8.114805652061477,,,
4,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.673215490583574e-05,0.6934031309449913,0.004874123726040125,0.06981492480866913,0.03615669906139374,0.73213493484993,0.30659686905500877,2.1236486434936523,,,,,
4,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00038370549057920776,0.13340487458254802,0.023254895582795143,0.15249555922319555,0.1088736355304718,-0.5071954760131502,0.866595125417452,,0.07954952982254326,7.88553203898482,,,
5,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.804960295399242e-05,0.6776141466129603,0.005330213345587254,0.0730083101132142,0.04136896878480911,0.7070697196404461,0.32238585338703973,2.002472162246704,,,,,
5,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0003896837424309481,0.015786201220102547,0.023427531123161316,0.15306054724572662,0.11106738448143005,-0.5184584509065682,0.9842137987798975,,0.07615980692207813,7.697597524849698,,,
6,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.810859154096337e-05,0.6842516768243772,0.004940595477819443,0.07028936959327095,0.03498808294534683,0.7284818378855094,0.31574832317562285,2.033576011657715,,,,,
