round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00014294430186093197,0.7710389779358894,0.009010769426822662,0.09492507269853767,0.0678977519273758,0.735798740702295,0.2289610220641106,2.4764349460601807,,,,,
1,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.008420345385869344,0.0420124100387842,0.48222780227661133,0.6944262396227632,0.6725634336471558,-15.75990989303666,0.9579875899612158,,0.10694937594234943,8.391535751055926,,,
2,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00011171125997018268,0.7979901381974102,0.006969665177166462,0.08348452058415656,0.05512595921754837,0.795646984980485,0.20200986180258979,2.349125385284424,,,,,
2,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.005852368559156145,0.27573017702505265,0.33493322134017944,0.5787341542886332,0.5500176548957825,-10.640107954746982,0.7242698229749474,,0.06653600698336959,8.368176450021565,,,
3,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00010089463166995044,0.8077998499878664,0.0062968553975224495,0.07935272772578425,0.05203259363770485,0.8153739306003136,0.1922001500121336,2.358764886856079,,,,,
3,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004813914895057678,0.34234507732622066,0.27478963136672974,0.5242038070891223,0.4927845597267151,-8.550882033915304,0.6576549226737793,,0.08243849710561335,8.378900880925357,,,
4,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.239512039749452e-05,0.8150689292733455,0.00584163935855031,0.07643061793908452,0.0502639003098011,0.8287208073653382,0.18493107072665452,2.2304646968841553,,,,,
4,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0043282732225599745,0.36260952591017037,0.2476242035627365,0.4976185321737289,0.47033411264419556,-7.6071980497514815,0.6373904740898296,,0.0752239499706775,8.226835875073448,,,
5,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.292304233506924e-05,0.8152047902305615,0.00574286375194788,0.07578168480541904,0.04898475110530853,0.8316169714246548,0.18479520976943853,2.216869354248047,,,,,
5,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0038364585524513608,0.4004999686862323,0.22051404416561127,0.4695892291839872,0.44390302896499634,-6.664825907240308,0.5995000313137677,,0.0744831059128046,8.01717053190805,,,
6,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.812606346478898e-05,0.8066728014106576,0.006222165655344725,0.07888070521581766,0.05148830637335777,0.8175665164163685,0.1933271985893424,2.21659517288208,,,,,
6,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0035624689715249196,0.4104427671020531,0.20510736107826233,0.45288780186516653,0.4290247857570648,-6.129491404198934,0.5895572328979469,,0.07528075599111617,7.960880778962746,,,
7,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.508077300952716e-05,0.8185396627385501,0.005232055671513081,0.0723329501092903,0.04658478498458862,0.846601296307397,0.18146033726144992,2.326145887374878,,,,,
7,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0032561741556440082,0.4360192042715899,0.187621608376503,0.43315310038888444,0.4097610116004944,-5.521430613278289,0.5639807957284101,,0.07245324086397886,8.563504379009828,,,
8,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.403405755055556e-05,0.8266847881620449,0.004702889826148748,0.06857761898862302,0.04412127658724785,0.8621169846896879,0.173315211837955,2.378566026687622,,,,,
8,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.002939482189360119,0.46955220580155166,0.16936972737312317,0.411545534993545,0.38779813051223755,-4.8867507402890995,0.5304477941984483,,0.07215754012577236,8.033987239003181,,,
9,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.376708433620675e-05,0.8150429577894633,0.005235340911895037,0.07235565570081606,0.0468931645154953,0.8465078078172933,0.18495704221053666,2.315347671508789,,,,,
9,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00267880536261059,0.4880094480679753,0.15441486239433289,0.3929565655315265,0.3696235716342926,-4.3670017288112035,0.5119905519320247,,0.07860375894233584,8.068546205060557,,,
10,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.044191852946097e-05,0.8313379957299162,0.004459487274289131,0.06677939258700345,0.044372424483299255,0.8692527802530163,0.1686620042700838,2.286207675933838,,,,,
10,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0023551568530854727,0.5226340131269319,0.13577407598495483,0.36847533972432245,0.3451584577560425,-3.71888903998906,0.4773659868730681,,0.07687338883988559,8.721200810978189,,,
11,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.616702865473546e-05,0.8360896207449786,0.004127070773392916,0.06424228181963118,0.04137547314167023,0.8789997695527278,0.16391037925502142,2.253221035003662,,,,,
11,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.002302179989360628,0.529390962890162,0.1326741725206375,0.3642446602499994,0.34146180748939514,-3.611133164305194,0.47060903710983804,,0.08007638202980161,8.298744860803708,,,
12,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.586995850702854e-05,0.8404577134345042,0.003987131640315056,0.06314373793429603,0.04029268026351929,0.8831012169853981,0.15954228656549588,2.2559022903442383,,,,,
12,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.002206172120003473,0.5260960311007896,0.1272597759962082,0.356734881944853,0.3343570828437805,-3.423382835696258,0.4739039688992103,,0.07154906983487308,8.184689671033993,,,
13,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.85641945547995e-05,0.8246377322071944,0.0049797529354691505,0.07056736452120875,0.046206794679164886,0.8539983696761327,0.1753622677928056,2.2492706775665283,,,,,
