round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00011947933226417097,0.8709346457299395,0.007608229760080576,0.08722516701090675,0.061729297041893005,0.38951806646417414,0.1290653542700605,3.1137778759002686,,,,,
1,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00011811861734375031,0.8633440919284481,0.007515234407037497,0.08669045164859562,0.05897686257958412,0.21114219739471116,0.13665590807155187,,0.0843734429217875,3.8918008669279516,,,
2,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.512814344003208e-05,0.8807405039154759,0.005420258268713951,0.0736224033071045,0.049851786345243454,0.5650879620899152,0.11925949608452412,2.870063304901123,,,,,
2,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00011990672864536517,0.8618307771194843,0.007632656954228878,0.08736507857392951,0.05523209273815155,0.19881231730151736,0.13816922288051567,,0.12573230010457337,3.5404766539577395,,,
3,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.707361045294592e-05,0.9007878278681986,0.003640789072960615,0.06033895154011723,0.038747817277908325,0.7078704569416678,0.09921217213180145,2.8511459827423096,,,,,
3,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00010962238441246342,0.8627086732456145,0.006980008911341429,0.08354644762849842,0.05244649946689606,0.2673009810212278,0.1372913267543855,,0.08372158999554813,3.5284821440000087,,,
4,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.910167323427576e-05,0.9057541245334546,0.0031320094130933285,0.05596435841759761,0.03564769774675369,0.7486949383442874,0.09424587546654542,2.8870110511779785,,,,,
4,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00010187951949880506,0.8644921270139734,0.006487052887678146,0.08054224287712719,0.049859292805194855,0.3190419512053485,0.13550787298602657,,0.08451491291634738,3.6249739120248705,,,
5,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0393954032867644e-05,0.9124261403144208,0.002576100407168269,0.050755299301336695,0.031605251133441925,0.7933006160844063,0.08757385968557915,2.7605388164520264,,,,,
5,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00010538231122586196,0.8617040513616618,0.0067026312462985516,0.08186959903589702,0.05356826260685921,0.2964095242060544,0.13829594863833822,,0.08621413097716868,3.42886220687069,,,
