round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,5.577956442963174e-05,0.8924391027796458,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0035324058334218755,0.05588361710942568,0.03552856256098985,0.7722106582345641,0.10756089722035425,6.047418448740412,,,,,
1,val,0.0011721406108161163,0.6969265978223196,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.06909263477200026,0.18692688529195742,0.17334133442027289,-3.041300881565758,0.3047343082382021,,8.92330426722765e-05,8.92330426722765e-05,,,
2,train,3.979209543131347e-05,0.9102008977765965,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0024859127093003423,0.04485441175136429,0.029746259221471245,0.8478511129892351,0.08979910222340337,5.890754841486173,,,,,
2,val,0.0007853583789566653,0.7837527059702208,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.045809204909151746,0.12359276488389487,0.10590836930874191,-1.3333933781300331,0.2162472940297792,,0.00010125292465090752,0.00010125292465090752,,,
3,train,2.8756306459485973e-05,0.9230802700770437,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0017506543413984203,0.03523003815750023,0.023478847944316265,0.8966297330213827,0.07691972992295638,5.91041338032832,,,,,
3,val,0.0006837652158554004,0.7959312244049302,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.039960169165024,0.1206458650355112,0.10339051652832282,-1.1527699836851106,0.20406877559506975,,8.724303916096687e-05,8.724303916096687e-05,,,
4,train,2.5706701217389242e-05,0.9299283538008886,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0015774048554262805,0.03175165048553209,0.02053523013471819,0.9084118564466664,0.0700716461991115,5.917892528947255,,,,,
4,val,0.0006139568807244437,0.792170413309012,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.03595029503128614,0.11469868672222595,0.09742603694416874,-0.9565892217178414,0.207829586690988,,9.120418690145016e-05,9.120418690145016e-05,,,
5,train,2.2603368760349744e-05,0.9350124673475478,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0014164212844420447,0.029566420300550292,0.018848544165505608,0.9174752758603564,0.06498753265245208,6.031521080499626,,,,,
5,val,0.0005491995461470716,0.8009108815762148,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.032229789297984666,0.10573234917853132,0.0892957886568274,-0.7672247109800095,0.19908911842378524,,9.198300540447235e-05,9.198300540447235e-05,,,
