12162-0,12163-0,12164-0,12165-0,12166-0,12167-0
95.54633,160.41072,107.9442,138.17674,96.86276,247.22244
95.70749,160.21729,108.11058,138.23303,96.66787,246.14796
95.473206,160.37462,108.083176,138.30515,96.67039,246.5945
95.77519,160.25085,108.225655,138.7407,96.62454,246.1455
95.82151,160.26616,108.42861,138.13306,96.23743,247.31897
95.904045,160.08723,108.45614,138.02483,96.19882,247.47061
95.75034,159.96526,108.41907,137.87605,95.62258,246.54185
95.83386,159.88896,108.49552,138.03296,95.266464,246.27676
95.81231,159.79596,108.67205,137.67328,95.47102,245.58089
95.89652,159.92584,108.49495,137.80846,91.93943,245.91226
95.68111,159.65358,108.5768,137.63615,95.84,238.46622
95.75868,159.67462,108.44362,137.6404,96.07319,246.88998
95.682625,159.48564,108.895515,137.27434,96.64793,247.44035
95.61912,159.77853,108.76013,137.38422,96.85649,248.20776
95.70633,159.58508,108.76326,137.56178,96.965576,248.51727
95.92621,160.17357,108.64977,137.80653,97.03484,248.54588
95.88052,159.59436,108.55146,137.90118,97.163055,248.8455
95.952965,159.98221,108.69516,138.52924,97.33204,248.82803
95.927895,159.67928,108.762825,138.65652,97.1641,248.82718
96.03167,160.51752,108.811005,138.78723,97.05815,248.64233
96.09359,159.74788,108.858795,138.36765,97.174736,248.56473
96.218765,159.90007,108.79892,138.12703,97.358055,248.93167
96.21199,159.84026,108.89681,137.93011,97.50268,248.84897
96.06437,160.30757,108.72664,137.83377,97.583015,249.15337
96.05773,160.11754,108.93363,137.23721,97.64171,249.40176
95.96946,159.93675,108.8735,137.40756,97.54634,248.99184
95.98606,159.94154,108.9786,137.5444,97.52845,248.9434
95.95919,160.27855,108.88063,138.04692,97.25937,248.77516
96.155464,160.23492,108.88447,137.38933,97.65123,249.03328
95.90907,159.96492,108.85672,137.90059,97.49937,249.09254
95.96361,159.89302,108.96204,137.47752,97.35005,248.93958
95.80745,159.93753,108.87995,137.62675,97.4901,248.9294
95.91966,160.37485,108.84482,137.43901,97.53813,248.62456
95.674706,160.40532,108.85984,137.84354,97.74442,249.00835
95.74224,160.1093,108.93988,137.62683,97.56085,249.18422
95.61893,160.19765,108.827385,137.69028,97.509186,249.28781
95.748215,160.56819,108.771355,137.56917,97.64807,248.9184
95.75452,160.70235,108.78649,137.66495,97.63186,248.94102
95.610985,160.48218,108.884834,137.45331,97.62055,248.90077
95.77993,160.50569,108.73406,137.7443,97.67872,249.19437
95.70457,159.85495,108.89588,137.93466,97.66668,249.30087
95.79426,160.02116,108.84613,137.47273,97.69049,249.32095
95.69278,159.72829,108.910484,137.5996,97.71997,249.2446
95.84545,160.27731,108.81167,138.062,97.69848,249.00298
95.7611,159.87398,108.67548,138.085,97.707344,248.77417
95.884445,159.9947,108.75885,137.75902,97.59013,248.83063
95.76225,159.88275,108.733,138.18187,97.5983,249.07814
95.92995,160.41423,108.71505,138.2451,97.37778,248.74796
