method,status,base_objective_value,penalty_cost,penalized_objective_value,mip_gap,n_stations,n_slots
plain_heterofl,2,1838130.0644271325,374403.44573293114,2212533.5101600634,8.866698484065282e-16,6,48
pwrh,2,1842953.5129043122,255939.47142603758,2098892.9843303496,1.2633560316285546e-16,6,48
