station,total_grid_energy,total_cost,total_penalty_cost,total_realized_cost,min_diff
12162-0,4572.636761831025,206296.68164242205,143895.2894663388,350191.97110876086,-3.551225660167674
12163-0,7639.537490831025,345735.08404396207,148184.06159479305,493919.1456387551,-4.4337284148746505
12164-0,5214.829281831025,235506.10166816204,34254.35657286499,269760.458241027,-1.021423157265886
12165-0,6619.323450831025,299251.03885006206,44893.45065969129,344144.48950975336,-2.0273156509571777
12166-0,4664.730632831025,210739.63600286204,557.0508284597952,211296.68683132183,-0.13367072827568904
12167-0,11918.021050831025,540601.5222196621,2619.2366107832354,543220.7588304452,-0.6743706824902347
