station,total_grid_energy,total_cost,total_penalty_cost,total_realized_cost,min_diff
12162-0,4608.1113668310245,207905.53452679206,103673.96735708878,311579.5018838808,-2.578670660167674
12163-0,7690.6034308310245,348057.38541996205,91074.50639479309,439131.89181475516,-3.4409284148746337
12164-0,5225.568109831025,236024.21374901204,21301.554551614954,257325.768300627,-1.022907157265891
12165-0,6625.244760831025,299588.66278026206,36261.80250589964,335850.4652861617,-1.7167856509571777
12166-0,4665.065441831025,210753.31773222206,561.5773046067279,211314.89503682876,-0.18401687121307475
12167-0,11918.190440831026,540624.398696062,3066.0633120344037,543690.4620080965,-0.8712506824902277
