round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.34414795419238e-05,0.8911690786843565,0.00595998577773571,0.07720094415054592,0.05489452928304672,0.46270971973532804,0.10883092131564354,2.108816146850586,,,,,
1,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023040809349095733,0.8036595951861689,0.014533137902617455,0.12055346491336305,0.10241016745567322,-0.6320503216253606,0.1963404048138311,,0.05394514580257237,2.617738598957658,,,
2,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4547868498128325e-05,0.9173137232260986,0.0034804800525307655,0.05899559350096213,0.038672905415296555,0.6862363904158333,0.08268627677390138,1.9700636863708496,,,,,
2,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011505990701562152,0.8528693292250324,0.007243132218718529,0.08510659327407324,0.06484562903642654,0.1865822754674325,0.1471306707749675,,0.04434786387719214,2.1978904949501157,,,
3,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.325177433207181e-05,0.9177726414058169,0.003401117864996195,0.058319103773945245,0.03879467770457268,0.693390437467609,0.08222735859418309,1.9164032936096191,,,,,
3,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010157849751820747,0.8645986739334197,0.006389352027326822,0.07993342246724347,0.0591752752661705,0.28247167377228694,0.13540132606658023,,0.04843128100037575,2.190946247894317,,,
4,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2701167752274015e-05,0.918659251837126,0.0033620831090956926,0.057983472723662326,0.03847869485616684,0.6969094888454092,0.08134074816287398,1.9035248756408691,,,,,
4,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012654321066527617,0.8514577434790391,0.007965988479554653,0.08925238640817765,0.07004772126674652,0.10541834263667763,0.14854225652096092,,0.04915114981122315,2.157079534837976,,,
5,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.178030247802216e-05,0.9191249248881197,0.0033069748897105455,0.057506303043323395,0.03746075928211212,0.7018774335966085,0.08087507511188026,2.037770986557007,,,,,
5,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012354960284420173,0.8515648102084239,0.007775555830448866,0.08817911221172997,0.06808353960514069,0.12680220220131283,0.1484351897915761,,0.05010244809091091,2.29084459412843,,,
6,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.204345840034827e-05,0.919081002866887,0.003317642491310835,0.057598979950263314,0.037792906165122986,0.7009161338068701,0.08091899713311299,1.9212970733642578,,,,,
6,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012102591524177079,0.8527894255848691,0.007615935523062944,0.08726932750435829,0.06706646084785461,0.14472530968834946,0.14721057441513083,,0.05243023298680782,2.184158297954127,,,
7,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0406901338370245e-05,0.9197444196466483,0.0032183602452278137,0.05673059355610351,0.03546156734228134,0.709866247590863,0.08025558035335166,1.9310622215270996,,,,,
7,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012619039746241558,0.8498163944023297,0.00794227421283722,0.08911943790687428,0.06961549818515778,0.10807600377193541,0.1501836055976703,,0.04723807191476226,2.3135509479325265,,,
8,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.018771545605628e-05,0.9206803192109586,0.0032050362788140774,0.05661303983018468,0.03481422737240791,0.7110675344278331,0.07931968078904143,1.988358497619629,,,,,
8,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010871384553429999,0.862723686551088,0.0068377419374883175,0.08269063996298685,0.06235640496015549,0.23211897584920232,0.13727631344891197,,0.04708495596423745,2.2237161879893392,,,
9,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7105370349284264e-05,0.9238683972631316,0.002999633550643921,0.054768910438714416,0.03258771821856499,0.7295845406780801,0.07613160273686842,1.9034910202026367,,,,,
9,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010838825340607087,0.8615647338881187,0.006818926427513361,0.08257679109479467,0.06263601779937744,0.2342310368492116,0.13843526611188128,,0.049805226968601346,2.1602709831204265,,,
10,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.780016531632363e-05,0.9240773015577991,0.0030440478585660458,0.05517289061274609,0.03337441384792328,0.7255806899517224,0.07592269844220086,1.835228681564331,,,,,
10,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011908986499202222,0.8528055944846933,0.007496730890125036,0.08658366410660291,0.06733833253383636,0.15810309474671258,0.14719440551530671,,0.04706269386224449,2.203994646202773,,,
11,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4430913026395936e-05,0.9284325846751629,0.002825621049851179,0.05315657108816538,0.030879292637109756,0.7452716244158969,0.07156741532483712,1.8744049072265625,,,,,
11,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012165732702145177,0.8513344289288918,0.0076601868495345116,0.08752249339189619,0.06877203285694122,0.13974555682549608,0.1486655710711082,,0.049269854091107845,2.1639875241089612,,,
12,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.843046440354588e-05,0.9212010817484988,0.0030871762428432703,0.05556236354622858,0.03486349806189537,0.721692352985599,0.07879891825150115,1.8571898937225342,,,,,
12,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011602121319195795,0.8518022947914514,0.007305348291993141,0.0854713302341384,0.06606272608041763,0.17958672405570897,0.14819770520854852,,0.04745854111388326,2.1554133219178766,,,
13,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3907312367492195e-05,0.9283065717221439,0.0027976185083389282,0.05289251845335906,0.031105896458029747,0.7477958788274883,0.07169342827785606,1.849158525466919,,,,,
13,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011817299661174453,0.8507853825032823,0.007442767266184092,0.08627147423212432,0.06698568165302277,0.16415456343492502,0.14921461749671766,,0.05018710205331445,2.2430180618539453,,,
14,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.351910786583163e-05,0.9280376822870645,0.0027734162285923958,0.052663234125833895,0.031414709985256195,0.7499776427996854,0.07196231771293549,1.910917043685913,,,,,
14,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011002935793187351,0.8573373112672131,0.006928551476448774,0.08323792090416948,0.0632181316614151,0.22190566246914606,0.14266268873278684,,0.04266962502151728,2.14521466800943,,,
15,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1993563815883205e-05,0.9305157120140842,0.002684169914573431,0.0518089752318402,0.030020717531442642,0.7580232232399337,0.0694842879859158,1.8421244621276855,,,,,
15,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.170417088126976e-05,0.8735248474969796,0.005770146381109953,0.07596147958741953,0.05511026829481125,0.3520077484080705,0.12647515250302044,,0.04274724796414375,2.1808709339238703,,,
16,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.210411716654408e-05,0.9314316129010237,0.0026908398140221834,0.05187330540867994,0.030474074184894562,0.7574219342057854,0.06856838709897625,1.9270105361938477,,,,,
16,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.65044142516135e-05,0.8780448726566576,0.00544128380715847,0.07376505817227064,0.05193203315138817,0.388940070834496,0.12195512734334234,,0.049506993032991886,2.3015959800686687,,,
17,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.138623926200137e-05,0.9329324228508431,0.0026368843391537666,0.051350602130391484,0.02985866740345955,0.7622860012911135,0.06706757714915691,1.9328107833862305,,,,,
17,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.100929863778126e-05,0.8845447047133376,0.0050931284204125404,0.07136615738858679,0.049354687333106995,0.42804254465163827,0.11545529528666239,,0.04915051907300949,2.192099042935297,,,
18,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.884006643510433e-05,0.9337031273697897,0.0024829821195453405,0.04982953059728077,0.027332792058587074,0.7761601260515533,0.06629687263021031,1.9208693504333496,,,,,
18,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.719238296631551e-05,0.8877472870822238,0.004851021803915501,0.06964927712414179,0.04708610475063324,0.4552323024008871,0.11225271291777611,,0.04814159800298512,2.145783534971997,,,
19,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.866344208233643e-05,0.933707347621073,0.0024610930122435093,0.04960940447378409,0.02759198285639286,0.7781336637526863,0.06629265237892698,1.992995262145996,,,,,
19,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.68653876227474e-05,0.8916873380757145,0.004829234443604946,0.06949269345481542,0.046560902148485184,0.45768479378333327,0.10831266192428547,,0.04362463392317295,2.215336568886414,,,
20,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.855962922613263e-05,0.9345052505548401,0.002464953111484647,0.04964829414476037,0.027742046862840652,0.7777855338800027,0.06549474944515993,1.8402066230773926,,,,,
20,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.990114260555546e-05,0.8916784388221856,0.005020147655159235,0.07085300032573945,0.048128463327884674,0.43624814723738736,0.1083215611778144,,0.0503040449693799,2.140499121043831,,,
21,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.712612105415578e-05,0.9353728911117293,0.0023718690499663353,0.04870183826064818,0.02704538032412529,0.7861770181263139,0.06462710888827071,1.8512520790100098,,,,,
21,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.323177283235492e-05,0.8986025254116747,0.004596893675625324,0.06780039583678936,0.04448147118091583,0.4837849476588345,0.10139747458832524,,0.04870187980122864,2.1357737448997796,,,
22,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.649657574262141e-05,0.9356461804739619,0.002326363231986761,0.04823238779064085,0.026505906134843826,0.790279275595429,0.06435381952603818,1.8168096542358398,,,,,
22,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.106419341887943e-05,0.8918947345820873,0.005090666469186544,0.07134890657316723,0.04689813032746315,0.428331073203679,0.1081052654179127,,0.16356944106519222,2.2792287338525057,,,
23,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6578941222228345e-05,0.9356561139785475,0.002331259660422802,0.048283119829012726,0.02654726803302765,0.7898380408178107,0.06434388602145245,1.834993600845337,,,,,
23,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.237060701016818e-05,0.8895003383585277,0.005172242410480976,0.07191830372360694,0.04739225283265114,0.4191678665195267,0.11049966164147229,,0.04879778390750289,2.1568822651170194,,,
24,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.587204391235739e-05,0.9368585781662087,0.002288001822307706,0.047833062021030034,0.02677968703210354,0.7937375342187629,0.0631414218337914,1.8475146293640137,,,,,
24,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.203310143075647e-05,0.8943760059562332,0.005153284873813391,0.07178638362400902,0.048082854598760605,0.42130267349596684,0.10562399404376678,,0.049055284122005105,2.1328449950087816,,,
25,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.696693859993871e-05,0.9351147285608119,0.002354192780330777,0.04852002452937114,0.027082890272140503,0.7877704932226463,0.06488527143918812,1.8902997970581055,,,,,
25,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.352110087971255e-05,0.9007996106094761,0.004614877514541149,0.06793288978500141,0.04259104281663895,0.48176701353178086,0.0992003893905239,,0.04777343198657036,2.2516931518912315,,,
26,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.516067803213232e-05,0.9365798629502633,0.002241763286292553,0.04734726271171918,0.026044126600027084,0.7979060025260425,0.06342013704973669,1.861374855041504,,,,,
26,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.377631074030613e-05,0.9048713169164202,0.004631390795111656,0.06805432238375206,0.0432429239153862,0.4799193557676189,0.09512868308357982,,0.050830405903980136,2.134567175991833,,,
27,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5185056005585094e-05,0.9359788774926715,0.002248966135084629,0.047423265757269704,0.027541721239686012,0.7972567056966571,0.06402112250732851,1.8286268711090088,,,,,
27,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06784938789741e-05,0.897413005940621,0.005069330334663391,0.07119922987408916,0.04698540270328522,0.43073583942437804,0.10258699405937897,,0.049185059033334255,2.16261488199234,,,
28,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.549202977280531e-05,0.9356326178416574,0.0022612956818193197,0.04755308277934586,0.02840718999505043,0.7961452482249932,0.06436738215834256,1.9373540878295898,,,,,
28,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.436285017099041e-05,0.897998019928842,0.00530149694532156,0.07281137922963388,0.0496060848236084,0.40466732553224305,0.10200198007115802,,0.04719764902256429,2.204644967103377,,,
29,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.292981367063374e-05,0.9384270260543128,0.002101721242070198,0.04584453339352684,0.026472775265574455,0.8105307959879466,0.06157297394568716,1.8532345294952393,,,,,
29,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.697403625814004e-05,0.9047631815647169,0.00483527360484004,0.0695361316499562,0.04460790753364563,0.4570257020185946,0.0952368184352831,,0.048808204010128975,2.147779071936384,,,
30,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.136766061882308e-05,0.9391985119370917,0.002002234570682049,0.04474633583526196,0.025627238675951958,0.8194992105011248,0.06080148806290833,1.857142448425293,,,,,
30,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.522262099205795e-05,0.9040371991205244,0.004724900703877211,0.06873791314752878,0.04221196100115776,0.4694183554561978,0.09596280087947566,,0.047564982902258635,2.192920181900263,,,
31,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.248447883992081e-05,0.9386793742374224,0.0020689377561211586,0.0454855774517721,0.025894328951835632,0.8134860734611344,0.061320625762577616,1.9000444412231445,,,,,
31,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.467132589695953e-05,0.9073472463896441,0.0046906848438084126,0.06848857454939775,0.04336091876029968,0.4732655588556629,0.09265275361035587,,0.050256993155926466,2.2462527160532773,,,
32,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.082136350167909e-05,0.9391293452946818,0.0019619972445070744,0.044294438076434316,0.025990530848503113,0.8231267580294739,0.060870654705318175,1.8583664894104004,,,,,
32,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.279454006095147e-05,0.9003235878100827,0.0052054040133953094,0.07214848587042773,0.0483870692551136,0.4154611864476616,0.09967641218991732,,0.046863415045663714,2.1110107451677322,,,
33,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9935127306858276e-05,0.9406572699915453,0.0019082038197666407,0.043682992339887164,0.02543867751955986,0.8279762170360637,0.059342730008454664,1.8171215057373047,,,,,
33,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.304681976010836e-05,0.9079905147761295,0.004587952513247728,0.06773442635209756,0.04229125380516052,0.48480153581872465,0.09200948522387056,,0.041128152050077915,2.1573851460125297,,,
34,train,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9007689654178114e-05,0.9413682403415768,0.0018540055025368929,0.04305816417982649,0.02487160637974739,0.8328621592780867,0.0586317596584232,1.9279131889343262,,,,,
34,val,12167-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.182828274186148e-05,0.9092412891450825,0.004512288607656956,0.06717357075261784,0.04213610291481018,0.49329783939786465,0.09075871085491755,,0.04932752507738769,2.161154954927042,,,
