station,total_grid_energy,total_grid_cost,total_curtailment,total_curtailment_cost,total_cost,total_shortage_penalty_cost,total_surplus_penalty_cost,total_penalty_cost,total_realized_cost,min_diff,max_diff
12162-0,4561.9687618310245,205788.56442242206,0.0,0.0,205788.56442242206,143895.2894663388,0.0,143895.2894663388,349683.85388876084,-3.551225660167674,-1.9737282916186558
12163-0,7628.869490831025,345226.96682396205,0.0,0.0,345226.96682396205,148184.06159479305,753.2839433264741,148937.34553811952,494164.31236208155,-4.4337284148746505,2.5109464777549135
12164-0,5204.161281831025,234997.98444816205,0.0,0.0,234997.98444816205,34254.35657286499,0.0,34254.35657286499,269252.34102102707,-1.021423157265886,-0.23973654711788583
12165-0,6608.655450831025,298742.92163006205,0.0,0.0,298742.92163006205,44893.45065969129,42.578428328232576,44936.029088019524,343678.95071808156,-2.0273156509571777,0.1389771699593325
12166-0,4654.0626328310245,210231.51878286205,0.0,0.0,210231.51878286205,557.0508284597952,1862.7305137370995,2419.781342196895,212651.30012505894,-0.13367072827568904,0.7730438527519397
12167-0,11907.353050831025,540093.4049996621,0.0,0.0,540093.4049996621,2619.2366107832354,6035.983549260479,8655.220160043715,548748.6251597058,-0.6743706824902347,1.1545992949525044
