method,status,base_objective_value,shortage_penalty_cost,surplus_penalty_cost,penalty_cost,penalized_objective_value,mip_gap,n_stations,n_slots
plain_heterofl,2,1835081.3611071324,374403.44573293114,8694.576434652285,383098.02216758346,2218179.383274716,2.0300409439145467e-15,6,48
pwrh,2,1839904.8095843121,255939.47142603758,9182.110280497698,265121.5817065353,2105026.391290847,1.2654493995614525e-15,6,48
