station,total_grid_energy,total_grid_cost,total_curtailment,total_curtailment_cost,total_cost,total_shortage_penalty_cost,total_surplus_penalty_cost,total_penalty_cost,total_realized_cost,min_diff,max_diff
12162-0,4597.443366831025,207397.41730679205,0.0,0.0,207397.41730679205,103673.96735708878,0.0,103673.96735708878,311071.38466388086,-2.578670660167674,-1.4127582916186583
12163-0,7679.935430831025,347549.26819996204,0.0,0.0,347549.26819996204,91074.50639479309,1021.5799433264721,92096.08633811957,439645.3545380816,-3.4409284148746337,3.405266477754907
12164-0,5214.900109831025,235516.09652901205,0.0,0.0,235516.09652901205,21301.554551614954,0.0,21301.554551614954,256817.651080627,-1.022907157265891,-0.016364915636756905
12165-0,6614.576760831025,299080.54556026205,0.0,0.0,299080.54556026205,36261.80250589964,0.0,36261.80250589964,335342.3480661617,-1.7167856509571777,-0.026142830040669196
12166-0,4654.3974418310245,210245.20051222204,0.0,0.0,210245.20051222204,561.5773046067279,1945.466934731482,2507.04423933821,212752.24475156027,-0.18401687121307475,0.5483338527519379
12167-0,11907.522440831024,540116.281476062,0.0,0.0,540116.281476062,3066.0633120344037,6215.063402439745,9281.126714474149,549397.4081905362,-0.8712506824902277,0.8982192949524972
