round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00015812964799503484,0.5669721287695362,0.01001057866960764,0.10005287936690098,0.06154512241482735,0.449852380834306,0.4330278712304639,2.3334708213806152,,,,,
1,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0008544283644074485,0.0,0.05153695121407509,0.2270175130118271,0.18673649430274963,-2.3399989936496546,1.1276858607646207,,0.07532807206735015,8.207700790138915,,,
2,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0001245562755616437,0.6161847376997842,0.007924986071884632,0.08902239084570034,0.055582545697689056,0.5644697226814892,0.38381526230021584,2.2238893508911133,,,,,
2,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00048767021369366416,0.20223811940080627,0.02996862679719925,0.17311449043104177,0.12850449979305267,-0.9421777059980156,0.7977618805991937,,0.07205683016218245,8.165422805119306,,,
3,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.825421312036009e-05,0.6664491200525998,0.005655110348016024,0.0752004677380136,0.0452137254178524,0.6892143930159216,0.3335508799474002,2.1271250247955322,,,,,
3,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0004112158281107744,0.24897838959966223,0.025038301944732666,0.15823495803624643,0.11505189538002014,-0.622699808997579,0.7510216104003378,,0.08137192693538964,7.932502427138388,,,
4,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.828420269935067e-05,0.6625317272093736,0.005785542074590921,0.07606275090075905,0.041271403431892395,0.6820465031533276,0.33746827279062636,2.2191600799560547,,,,,
4,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.000410953045246147,0.24018713900197697,0.024864178150892258,0.15768379165561772,0.11239752173423767,-0.6114265941449936,0.759812860998023,,0.07235564198344946,8.201042569009587,,,
5,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.679067352431988e-05,0.6887907744043642,0.0048956600949168205,0.06996899381095044,0.036893442273139954,0.7309512449778415,0.31120922559563574,2.2648561000823975,,,,,
5,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0003861810284711066,0.18662036512534408,0.023372545838356018,0.15288082233673397,0.1092737466096878,-0.5147912382042852,0.8133796348746559,,0.10113268787972629,7.890894192038104,,,
