round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00018669964938503196,0.8476169693728659,0.011592479422688484,0.10766837707836263,0.0736195370554924,0.2021699336481521,0.15238303062713407,1.5684714317321777,,,,,
1,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.006778468436832669,0.12441690290590801,0.4004212021827698,0.6327884339830887,0.6197807192802429,-22.552913638383362,0.875583097094092,,0.10008134110830724,8.352402989985421,,,
2,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00017064887367114492,0.8530396151827133,0.010358676314353943,0.1017775825727549,0.06812978535890579,0.2870839593864125,0.14696038481728668,1.3355906009674072,,,,,
2,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.006310523688038693,0.14061569045072553,0.37278497219085693,0.6105611944685454,0.5975077152252197,-20.92966524309513,0.8593843095492745,,0.05389352492056787,8.049236692022532,,,
3,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0001633503549579162,0.8556415256026662,0.009781395085155964,0.09890093571425886,0.06715308129787445,0.32681383151689464,0.1443584743973338,1.3187153339385986,,,,,
3,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0062237258701887815,0.11691820786839646,0.367683082818985,0.6063687680108409,0.593326210975647,-20.63557751619567,0.8830817921316035,,0.05364764994010329,7.876182738924399,,,
4,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00015628583505952715,0.8563107141821406,0.009501559659838676,0.09747594400588627,0.0657452791929245,0.3460730964890492,0.14368928581785945,1.3389856815338135,,,,,
4,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.006122365908280707,0.10317899030870792,0.3616786599159241,0.6013972563255706,0.5880103707313538,-20.28769383860159,0.8968210096912921,,0.060833757976070046,8.078563597984612,,,
5,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00015939375280751952,0.8575347779612437,0.009466113522648811,0.0972939541937155,0.06569602340459824,0.3485128335772323,0.14246522203875633,1.3096773624420166,,,,,
5,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.005833211578900301,0.1209476716922433,0.3446212708950043,0.5870445220722226,0.5738017559051514,-19.282931648763032,0.8790523283077567,,0.05106660001911223,7.803953903960064,,,
6,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00015385526542862257,0.8569055009907183,0.009390014223754406,0.09690208575543875,0.06560900807380676,0.3537502545133587,0.14309449900928178,1.3456103801727295,,,,,
6,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.005720537234459245,0.1291291837980697,0.3379901349544525,0.581369189890944,0.5684060454368591,-18.891561086850842,0.8708708162019303,,0.05337258707731962,7.64584004599601,,,
7,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00015786419462727265,0.8570519247148467,0.009341804310679436,0.09665300983766328,0.0653928741812706,0.35706807820963316,0.14294807528515327,1.495913028717041,,,,,
7,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.005489429152464565,0.14368913874634148,0.32434630393981934,0.5695140945927671,0.5565412044525146,-18.087711352008306,0.8563108612536585,,0.052432276075705886,7.747732791118324,,,
8,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0001527682280034287,0.8575946146084467,0.0093587851151824,0.09674081411267119,0.0664481669664383,0.35589968100052743,0.14240538539155337,1.32826828956604,,,,,
8,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.005434472978366578,0.1528626204590311,0.32112640142440796,0.5666801579589742,0.5538464188575745,-17.896397967226747,0.8471373795409689,,0.05792089202441275,7.957894172985107,,,
9,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00015386891721339252,0.8577276633511985,0.00929046981036663,0.09638708321329488,0.06620191782712936,0.36060114464354137,0.1422723366488015,1.3185486793518066,,,,,
9,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.005257525964628292,0.16734645549654503,0.3106815814971924,0.5573881784691818,0.5445763468742371,-17.280576972786356,0.832653544503455,,0.08243545796722174,8.149659767048433,,,
10,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00014798501658707614,0.8589257180705672,0.009092405438423157,0.09535410551425227,0.06439922749996185,0.3742323407345377,0.1410742819294328,1.345038652420044,,,,,
