round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12162-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00014112505775882266,0.8647551213777418,0.008408850058913231,0.0916997822184613,0.0660107433795929,0.2999429520069702,0.13524487862225826,1.5887062549591064,,,,,
1,val,12162-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0064833970261022516,0.1334379415264434,0.38018369674682617,0.6165903800310432,0.605067253112793,-23.61884300227457,0.8665620584735566,,0.061506476951763034,8.511768674012274,,,
2,train,12162-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.227881303647504e-05,0.8874467838900543,0.005777454003691673,0.07600956521183155,0.05095874145627022,0.519017952320844,0.11255321610994572,1.3915321826934814,,,,,
2,val,12162-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004926794943427235,0.2219656638612818,0.2889769375324249,0.5375657518224398,0.5266460180282593,-17.71273079521283,0.7780343361387182,,0.11836585402488708,8.247285372810438,,,
3,train,12162-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.923202485766442e-05,0.8892703872104105,0.005551246926188469,0.07450669047936882,0.050689928233623505,0.5378468716850897,0.11072961278958951,1.4446282386779785,,,,,
3,val,12162-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004117313945343726,0.27943102620279403,0.24155789613723755,0.491485397684649,0.4811640679836273,-14.64210232061867,0.720568973797206,,0.05612633912824094,8.763515022117645,,,
4,train,12162-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.574966743053846e-05,0.8918886286352341,0.005279070232063532,0.0726572104616158,0.04886157065629959,0.5605037366409301,0.10811137136476595,1.420259714126587,,,,,
4,val,12162-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0036030478366819614,0.3147520660754479,0.21148636937141418,0.4598764718611012,0.44992345571517944,-12.694810712812426,0.6852479339245521,,0.08021599496714771,8.827624848112464,,,
5,train,12162-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.122370893675344e-05,0.8906447569486518,0.005396776832640171,0.0734627581339019,0.049833014607429504,0.5507056244728752,0.10935524305134824,1.3946828842163086,,,,,
5,val,12162-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0031620886506913584,0.356740110407164,0.18572497367858887,0.43095820409708974,0.42134225368499756,-11.026626774456606,0.643259889592836,,0.05373651720583439,8.64175755600445,,,
